[1]	C. Chasteen, ed. Division of the State Fire Marshal State of Florida, 2010.
[187]	D. W. Stroup, L. DeLauter, J. Lee, and G. Roadarmel, "Upholstered Chair Fire Tests Using a California Technical Bulletin 133 Burner Ignition Source," National Institute of Standards and Technology, Gaithersburg, MD, Report of Test Report of Test 4012, 2001.
[188]	V. Babrauskas, J. R. Lawson, W. D. Walton, and W. H. Twilley, "Upholstered Furniture Heat Release Rates Measured with a Furniture Calorimeter," National Institute of Standards and TEchnology (formerly NBS), Gaithersburg, MD NBSIR 82-2604, 1982.
[189]	C. L. Beyler and F. W. Williams, "Upward Flame Spread on Vertical Surfaces," NIST, Gaithersburg, MD 6030, June 1997.
[190]	G. P. Forney and K. B. McGrattan, "User's Guide for Smokeview Version 3.1: A Tool for Visualizing Fire Dynamics Simulation Data, (Version 3.1)," National Institute of Standards and Technology, Gaithersburg, MD NISTIR 6980, 2003.
[191]	J. Shanley, "USFA Fire Burn Pattern Tests," United States Fire AdministrationJuly 1997.
[192]	K. J. Overholt, "Verification and Validation of Commonly Used Empirical Correlations for Fire Scenarios," US Department of Commerce, Gaithersburg, MD NIST Special Publication 1169, March 2014.
[193]	H. F. D. Members, "Voluntary Statements of Houston Fire Department Members to Houston Arson Bureau," H. A. Bureau, Ed., ed, 2009.
[194]	J. Quintiere, M. Harkleroad, and Y. Hasemi, "Wall Flames and Implications for Upward Flame Spread," Gaithersburg, MDSeptember 19 1985.
[195]	G. Back, C. Beyler, P. DiNenno, and P. Tatem, "Wall Incident Heat Flux Distributions Resulting from an Adjacent Fire," presented at the Fire Safety Science - Proceedings of the Fourth International Symposium.
[196]	Weather Station History | Weather Underground. The Weather Channel, . Available: http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYBROOK37&month=12&day=19&year=2011
[197]	(2014, 2/21). WHO | Burns  [Fact Sheet]. Available: http://www.who.int/mediacentre/factsheets/fs365/en/
[198]	D. Madrzykowski  and S. Kerber. (2010, March) Wind Driven Fire Research: Hazards and Tactics. Fire Engineering. 
